repo	rel_path	sha256	suggested_dest	notes
A	judge/fk.py	36a07ab83ec33f58295c285a84a6a818e89b230a8bde5cd9cf163fe5b7579b9c	kinescore.robots.franka	
A	judge/physics.py	fba2ff609601053d5e6c05731765f6dc2435d723781c6956441849320387d188	kinescore.metrics (KinematicConsistency/PhysicsConsistency)	
A	judge/pixel_judge.py	4de2fb1579245f7f7e91affcef3d1a275d10ba61dc441d22089c6c82087d4b33	kinescore.heads (AttentivePoseHead/DinoPoseHead)	
A	judge/scorer.py	e96cd676666a0a046ad76aeb8aa9b34022f057e254c5d297d0a2572cb7faf66f	kinescore.core.scorer	
A	scripts/precompute_dino_cache.py	35c2d07819da7bf5c132abd68e3d6827210723d8f706fa280907f63495e00f94		
A	scripts/train_judge.py	c8919348eb4e21abbefd03f45a1389bd1f32a3cf37c0aff6db6a2a25c3d87a6c		
B	models/evaluation/motion_reference.py	3d1fdc755ecc02bb255bdacb42f61a38fe1951282d2b866080cbf3f57819fba4	kinescore.reference	
B	models/evaluation/corruptions.py	0d8354fae1dd6f5fd420b9ac661ae23b0c0367c6c19d030ea794cdeb820bb152		
B	models/evaluation/pixel_judge_gr1.py	0a03a98145ce975f84637fc3e8a2990fff6f9928df686d8a39043bf0e607e06f		
B	models/evaluation/readout_v2_scorer.py	9eb6685dc9f3abb66141c566327a2b39343f0b0c6e0115fb4f3a888ab1386aa5		
B	models/kinematics/gr1_fk.py	746b8e4d3bebce2e66e7759126eb4982e077f8a3d1801026369ef00ddad4a211	kinescore.robots.gr1	sibling models/kinematics/fk.py is byte-identical to A judge/fk.py
B	models/physics/feasibility.py	672ee4ab4e2390b3f85726805711055ded23e294f7f1307c83444ba2567c7ebc		
B	models/physics/robot_colliders.py	f3518c2ee222ee2321a11b97af64c28fa8758bd52e78cf2ed1654e387c590eb6		
B	models/posendf/readout_v2.py	7f8ba65b4bf1a990f1e7dfed5fac5bea9f92af705f7a97a2756b764200a9b9bf		
B	eval/bench/manifest.py	5f4f724c20d9b7a383ac6924c43bb00a0886ad18a9e1994ed1005a99232c7ae4		
B	eval/bench/scoring.py	a1edf9c97ee7014ca27c5e7e57c2cab14d6af31d19a1eae516fa0cafd55886de		
B	eval/bench/stats.py	657fb28449adb5c0522daa3891f009fbaa6aeeac7678722843acaaf98dcd9e2e		
